X-axis,Y-axis,time(in seconds)
17.29,30.79,320
18.44,20.68,321
19.06,27.21,322
17.73,22.21,323
22.63,23.52,324
18.33,17.94,325
17.66,34.68,326
21.94,22.71,327
17.98,26.59,328
18.58,24.86,329
17.57,23.35,330
69.79,31.68,331
65.14,31.55,332
65.81,27.76,333
66.9,28.2,334
65.19,37.81,335
72.89,25.79,336
64.55,29.92,337
65.7,31.44,338
64.66,27.7,339
69.37,31.74,340
68.37,36.82,341
61.55,26.31,342
56.9,36.84,343
64.44,31.69,344
65.82,34.69,345
64.6,38.69,346
51.65,22.58,347
61.33,32.01,348
63.93,21.18,349
64.13,26.89,350
64.74,25.85,351
63.75,29.5,352
30.65,23.81,353
27.83,28.81,354
28.09,25.42,355
30.22,20.81,356
44.5,27.99,357
27.88,30.61,358
26.73,36.33,359
29.29,44.31,360
31.16,30.65,361
34.31,28.78,362
27.02,33.36,363
25.86,24.98,364
26.86,28.48,365
26.03,35.24,366
24.71,30.9,367
24.18,29.83,368
27.4,21.96,369
21.54,31.74,370
28.09,44.24,371
27.16,30.02,372
26.96,32.32,373
26.31,33.21,374
40.24,35,375
31.41,18.05,376
31.7,14.38,377
35.59,21,378
45.73,21.67,379
31.27,19.63,380
31.7,27.49,381
34.85,43.23,382
32.13,21.01,383
34.44,15.39,384
30.59,25.08,385
31.56,15.55,386
31.61,17.36,387
31.27,24.73,388
26.52,20.88,389
32.44,32.8,390
31.05,14.67,391
27.02,19.57,392
33.59,42.83,393
31.27,18.75,394
30.58,19.76,395
31.57,21.28,396
64.04,34.65,397
58.46,33.98,398
57.01,25.18,399
61.86,27.02,400
74.61,22.5,401
57.4,31,402
56.56,35.92,403
60.15,32.72,404
57.22,32.3,405
66.92,10.29,406
59.9,27.56,407
56.52,35.06,408
60.24,25.63,409
57.71,33.3,410
52.05,31.51,411
55.98,26.51,412
51.6,30.02,413
55.37,32.88,414
63.03,10.68,415
59.63,26.79,416
57.33,30.34,417
57.27,31.47,418
73.9,26.41,419
78.31,33.82,420
73.95,21.98,421
73.1,19.86,422
73.92,29.18,423
91.4,26.89,424
73.53,32.77,425
76.91,43.76,426
76.04,26.81,427
74.5,21.14,428
72.28,28.77,429
73.75,21.1,430
74.04,22.56,431
73.65,29.77,432
68.89,26.46,433
70.69,29.15,434
73.32,32.18,435
69.04,27.93,436
75.97,43.6,437
73.45,25.89,438
75.46,26.99,439
71.64,29,440
89.45,32.06,441
95.52,39.49,442
89.04,33.65,443
89.7,25.76,444
91.25,30.93,445
104.02,28.57,446
89.99,36.64,447
98.14,43.26,448
91.01,34.39,449
93.29,21.37,450
90.14,28.39,451
89.38,36.85,452
89.68,28.88,453
87.23,36.55,454
85.19,30.05,455
85.75,34.4,456
90.42,37.93,457
89.02,28.06,458
83.04,34.24,459
88.67,32,460
90.82,32.42,461
88.2,34.15,462
99.53,29.64,463
111.71,28.62,464
99.88,23.73,465
102.05,31.23,466
100.71,24.56,467
97.74,36.2,468
101.11,36.09,469
100.71,33.18,470
106.04,12.67,471
99.86,32.27,472
99.26,27.82,473
99.77,24.73,474
98.49,28.4,475
99.27,32.12,476
94.25,30.14,477
97.98,33.83,478
99.49,12.42,479
98.03,35.74,480
94.78,31.28,481
98.22,31.95,482
99.04,29.93,483
99.89,31.8,484
108.21,27.42,485
101.63,20.57,486
104.44,24.31,487
104.29,21.57,488
103.45,26.33,489
102.73,31.95,490
106.05,32.8,491
105.97,26.47,492
108.39,10.38,493
104.07,27.69,494
102.76,23.89,495
101.58,21.23,496
103.32,22.07,497
103.18,28.3,498
97.12,26.58,499
100.38,23.28,500
104.97,10.44,501
102.56,30.32,502
97.34,24.95,503
101.87,23.98,504
104.23,25.54,505
102.05,26.08,506
107.65,26.4,507
108.07,33.3,508
105.27,23.18,509
106.55,21.22,510
109.41,29.52,511
107.43,30.46,512
109.83,19.08,513
107.73,24.16,514
109.67,25.67,515
107.21,29.39,516
106.93,26.56,517
106.85,30.28,518
107.25,23.73,519
108.11,23.86,520
102.63,25.95,521
105.99,28.45,522
107.51,32.49,523
108.29,28.98,524
103.24,27.03,525
107.78,24.02,526
107.1,26.46,527
107.14,27.17,528
